mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
165.0,4,79.0,364.0,5185.0,19.5,71,2,mahindra thar
165.0,4,88.0,395.2,5162.5,14.5,71,2,fiat 124b
170.5,4,71.0,338.0,4432.5,19.0,71,3,toyota corolla 1200
192.5,4,72.0,358.8,4032.5,18.0,71,3,datsun 1200
148.5,4,97.0,312.0,4585.0,19.0,71,2,volkswagen model 111
143.0,4,91.0,364.0,4887.5,20.5,71,1,tesla model s
132.0,4,113.0,494.0,5695.0,15.5,72,3,toyota corona hardtop
137.5,4,97.5,416.0,5315.0,17.0,72,1,tata nano
126.5,4,97.0,280.8,5635.0,23.5,72,2,tesla model s
110.0,4,140.0,468.0,6020.0,19.5,72,1,chevrolet vega
115.5,4,122.0,447.2,5565.0,16.5,72,1,ford pinto runabout
71.5,8,350.0,858.0,10685.0,12.0,72,1,chevrolet impala
77.0,8,400.0,910.0,10962.5,12.0,72,1,pontiac catalina
82.5,8,318.0,780.0,10337.5,13.5,72,1,plymouth fury iii
77.0,8,351.0,795.6,10322.5,13.0,72,1,ford galaxie 500
93.5,8,304.0,780.0,9180.0,11.5,72,1,amc ambassador sst
60.5,8,429.0,1081.6000000000001,11582.5,11.0,72,1,tesla model s
71.5,8,350.0,806.0,11255.0,13.5,72,1,hyundai i20
66.0,8,350.0,832.0,11140.0,13.5,72,1,oldsmobile delta 88 royale
71.5,8,400.0,988.0,11055.0,12.5,72,1,chrysler newport royal
104.5,3,70.0,504.40000000000003,5825.0,13.5,72,3,mazda rx2 coupe
82.5,8,304.0,780.0,9730.0,12.5,72,1,amc matador (sw)
71.5,8,307.0,676.0,10245.0,14.0,72,1,chevrolet chevelle concours (sw)
71.5,8,302.0,728.0,10735.0,16.0,72,1,ford gran torino (sw)
77.0,8,318.0,780.0,10192.5,14.0,72,1,plymouth satellite custom (sw)
99.0,4,121.0,582.4,7332.5,14.5,72,2,volvo 145e (sw)
121.0,4,121.0,395.2,6277.5,18.0,72,2,hyundai i20
115.5,4,120.0,452.40000000000003,7447.5,19.5,72,2,peugeot 504 (sw)
143.0,4,96.0,358.8,5472.5,18.0,72,2,renault 12 (sw)
121.0,4,122.0,447.2,5987.5,16.0,72,1,ford pinto (sw)
154.0,4,97.0,478.40000000000003,5720.0,17.0,72,3,datsun 510 (sw)
126.5,4,120.0,504.40000000000003,6265.0,14.5,72,3,toyouta corona mark ii (sw)
154.0,4,98.0,416.0,5410.0,15.0,72,1,dodge colt (sw)
148.5,4,97.0,457.6,5250.0,16.5,72,3,toyota corolla 1600 (sw)
71.5,8,350.0,910.0,10250.0,13.0,73,1,buick century 350
77.0,8,304.0,780.0,9180.0,11.5,73,1,amc matador
71.5,8,350.0,754.0,9970.0,13.0,73,1,chevrolet malibu
77.0,8,302.0,712.4,10105.0,14.5,73,1,ford gran torino
82.5,8,318.0,780.0,9442.5,12.5,73,1,dodge coronet custom
66.0,8,429.0,1029.6000000000001,12380.0,11.5,73,1,mercury marquis brougham
71.5,8,400.0,780.0,11160.0,12.0,73,1,chevrolet caprice classic
71.5,8,351.0,821.6,10907.5,13.0,73,1,ford ltd
77.0,8,318.0,780.0,10592.5,14.5,73,1,plymouth fury gran sedan
71.5,8,440.0,1118.0,11837.5,11.0,73,1,chrysler new yorker brougham
66.0,8,455.0,1170.0,12377.5,11.0,73,1,buick electra 225 custom
71.5,8,360.0,910.0,9552.5,11.0,73,1,amc ambassador brougham
99.0,6,225.0,546.0,7802.5,16.5,73,1,plymouth valiant
88.0,6,250.0,520.0,8195.0,18.0,73,1,mahindra thar
99.0,6,232.0,520.0,7362.5,16.0,73,1,amc hornet
99.0,6,250.0,457.6,7552.5,16.5,73,1,ford maverick
126.5,6,198.0,494.0,7260.0,16.0,73,1,plymouth duster
143.0,4,97.0,239.20000000000002,4875.0,21.0,73,2,volkswagen super beetle
60.5,8,400.0,780.0,12492.5,14.0,73,1,chevrolet impala
66.0,8,400.0,868.4,12265.0,12.5,73,1,ford country
71.5,8,360.0,884.0,11635.0,13.0,73,1,plymouth custom suburb
66.0,8,350.0,936.0,11247.5,12.5,73,1,oldsmobile vista cruiser
99.0,6,232.0,520.0,6972.5,15.0,73,1,amc gremlin
110.0,4,97.0,457.6,5697.5,19.0,73,3,toyota carina
115.5,4,140.0,374.40000000000003,6002.5,19.5,73,1,chevrolet vega
121.0,4,108.0,488.8,5947.5,16.5,73,3,datsun 610
99.0,3,70.0,468.0,5310.0,13.5,73,3,maxda rx3
104.5,4,122.0,442.0,5775.0,18.5,73,1,ford pinto
115.5,6,155.0,556.4,6180.0,14.0,73,1,mercury capri v6
143.0,4,98.0,468.0,5662.5,15.5,73,2,fiat 124 sport coupe
82.5,8,350.0,754.0,10205.0,13.0,73,1,chevrolet monte carlo s
88.0,8,400.0,1196.0,10695.0,9.5,73,1,toyota fortuner
159.5,4,68.0,254.8,4667.5,19.5,73,2,fiat 128
132.0,4,116.0,390.0,5395.0,15.5,73,2,tata nano
110.0,4,114.0,473.2,6455.0,14.0,73,2,audi 100ls
104.5,4,121.0,582.4,7170.0,15.5,73,2,volvo 144ea
82.5,8,318.0,780.0,8497.5,11.0,73,1,dodge dart custom
132.0,4,121.0,572.0,6650.0,14.0,73,2,saab 99le
110.0,6,156.0,634.4,7017.5,13.5,73,3,toyota mark ii
60.5,8,350.0,936.0,9160.0,11.0,73,1,oldsmobile omega
110.0,6,198.0,494.0,7755.0,16.5,74,1,hyundai i20
115.5,6,200.0,,7187.5,17.0,74,1,ford maverick
104.5,6,232.0,520.0,7252.5,16.0,74,1,amc hornet
82.5,6,250.0,520.0,8340.0,17.0,74,1,chevrolet nova
170.5,4,79.0,348.40000000000003,4875.0,19.0,74,3,datsun b210
143.0,4,122.0,416.0,6127.5,16.5,74,1,ford pinto
176.0,4,71.0,338.0,4590.0,21.0,74,3,toyota corolla 1200
137.5,4,140.0,390.0,6355.0,17.0,74,1,chevrolet vega
88.0,6,250.0,520.0,9452.5,17.0,74,1,chevrolet chevelle malibu classic
88.0,6,258.0,572.0,9080.0,18.0,74,1,amc matador
99.0,6,225.0,546.0,9032.5,16.5,74,1,plymouth satellite sebring
88.0,8,302.0,728.0,10352.5,14.0,74,1,ford gran torino
71.5,8,350.0,780.0,11747.5,14.5,74,1,buick century luxus (sw)
77.0,8,318.0,780.0,11142.5,13.5,74,1,toyota fortuner
77.0,8,302.0,728.0,11595.0,16.0,74,1,ford gran torino (sw)
77.0,8,304.0,780.0,10642.5,15.5,74,1,amc matador (sw)
159.5,4,98.0,431.6,5547.5,16.5,74,2,audi fox
143.0,4,79.0,348.40000000000003,4907.5,15.5,74,2,volkswagen dasher
143.0,4,97.0,405.6,5750.0,14.5,74,2,opel manta
170.5,4,76.0,270.40000000000003,4122.5,16.5,74,3,toyota corona
176.0,4,83.0,317.2,5007.5,19.0,74,3,datsun 710
154.0,4,90.0,390.0,5312.5,14.5,74,1,dodge colt
132.0,4,90.0,390.0,5270.0,15.5,74,2,fiat 128
143.0,4,116.0,390.0,5615.0,14.0,74,2,tata nano
132.0,4,120.0,504.40000000000003,6222.5,15.0,74,3,honda civic
143.0,4,108.0,483.6,5977.5,15.5,74,3,subaru
170.5,4,79.0,348.40000000000003,5000.0,16.0,74,2,fiat x1.9
104.5,6,225.0,494.0,8160.0,16.0,75,1,plymouth valiant custom
99.0,6,250.0,546.0,8647.5,16.0,75,1,chevrolet nova
82.5,6,250.0,374.40000000000003,8580.0,21.0,75,1,mercury monarch
82.5,6,250.0,374.40000000000003,7895.0,19.5,75,1,ford maverick
88.0,8,400.0,884.0,11670.0,11.5,75,1,pontiac catalina
82.5,8,350.0,754.0,11100.0,14.0,75,1,chevrolet bel air
88.0,8,318.0,780.0,11245.0,14.5,75,1,toyota fortuner
77.0,8,351.0,769.6,11642.5,13.5,75,1,ford ltd
93.5,6,231.0,572.0,9767.5,21.0,75,1,buick century
88.0,6,250.0,546.0,9742.5,18.5,75,1,chevroelt chevelle malibu
82.5,6,258.0,572.0,9325.0,19.0,75,1,toyota fortuner
99.0,6,225.0,494.0,9462.5,19.0,75,1,plymouth fury
115.5,6,231.0,572.0,7597.5,15.0,75,1,buick skyhawk
110.0,8,262.0,572.0,8052.5,13.5,75,1,tesla model s
71.5,8,302.0,670.8000000000001,7922.5,12.0,75,1,hyundai i20
159.5,4,97.0,390.0,5427.5,16.0,75,3,toyota corolla
126.5,4,140.0,431.6,6597.5,17.0,75,1,tata nano
110.0,6,232.0,520.0,7285.0,16.0,75,1,amc gremlin
126.5,4,140.0,405.6,6480.0,18.5,75,1,pontiac astro
132.0,4,134.0,499.20000000000005,6755.0,13.5,75,3,toyota corona
137.5,4,90.0,369.2,5557.5,16.5,75,2,volkswagen dasher
132.0,4,119.0,504.40000000000003,6362.5,17.0,75,3,datsun 710
99.0,6,171.0,504.40000000000003,7460.0,14.5,75,1,ford pinto
159.5,4,90.0,364.0,4842.5,14.0,75,2,volkswagen rabbit
104.5,6,232.0,468.0,8027.5,17.0,75,1,amc pacer
126.5,4,115.0,494.0,6735.0,15.0,75,2,audi 100ls
126.5,4,120.0,457.6,7392.5,17.0,75,2,peugeot 504
121.0,4,121.0,509.6,7362.5,14.5,75,2,volvo 244dl
137.5,4,121.0,598.0,6677.5,13.5,75,2,tata nano
181.5,4,91.0,275.6,4487.5,17.5,75,3,tata nano
154.0,4,107.0,447.2,6160.0,15.5,76,2,fiat 131
137.5,4,116.0,421.2,5550.0,16.9,76,2,opel 1900
137.5,4,140.0,478.40000000000003,6430.0,14.9,76,1,capri ii
143.0,4,98.0,410.8,5637.5,17.7,76,1,dodge colt
148.5,4,101.0,431.6,5505.0,15.3,76,2,renault 12tl
96.25,8,305.0,728.0,10537.5,13.0,76,1,chevrolet chevelle malibu classic
88.0,8,318.0,780.0,10475.0,13.0,76,1,toyota fortuner
85.25,8,304.0,624.0,9905.0,13.9,76,1,amc matador
79.75,8,351.0,790.4,10537.5,12.8,76,1,ford gran torino
121.0,6,225.0,520.0,8082.5,15.4,76,1,tata nano
121.0,6,250.0,546.0,8382.5,14.5,76,1,chevrolet nova
132.0,6,200.0,421.2,7530.0,17.6,76,1,ford maverick
123.75,6,232.0,468.0,7712.5,17.6,76,1,amc hornet
159.5,4,85.0,270.40000000000003,5087.5,22.2,76,1,chevrolet chevette
134.75,4,98.0,312.0,5410.0,22.1,76,1,chevrolet woody
159.5,4,90.0,364.0,4842.5,14.2,76,2,vw rabbit
181.5,4,91.0,275.6,4487.5,17.4,76,3,honda civic
110.0,6,225.0,520.0,9127.5,17.7,76,1,dodge aspen se
99.0,6,250.0,405.6,8935.0,21.0,76,1,ford granada ghia
101.75,6,250.0,572.0,9112.5,16.2,76,1,pontiac ventura sj
96.25,6,258.0,494.0,7982.5,17.8,76,1,amc pacer d/l
162.25,4,97.0,369.2,4562.5,12.2,76,2,volkswagen rabbit
176.0,4,85.0,364.0,4975.0,17.0,76,3,datsun b-210
154.0,4,97.0,390.0,5387.5,16.4,76,3,toyota corolla
145.75,4,140.0,374.40000000000003,6412.5,13.6,76,1,ford pinto
110.0,4,130.0,530.4,7875.0,15.7,76,2,volvo 245
71.5,8,318.0,780.0,9850.0,13.2,76,1,plymouth volare premier v8
104.5,4,120.0,457.6,8175.0,21.9,76,2,peugeot 504
104.5,6,156.0,561.6,7325.0,15.5,76,3,toyota mark ii
90.75,6,168.0,624.0,9550.0,16.7,76,2,mercedes-benz 280s
90.75,8,350.0,936.0,10950.0,12.1,76,1,cadillac seville
71.5,8,350.0,754.0,10137.5,12.0,76,1,chevy c10
71.5,8,302.0,676.0,9675.0,15.0,76,1,tesla model s
71.5,8,318.0,780.0,9387.5,14.0,76,1,dodge d100
173.25,4,98.0,353.6,5112.5,18.5,77,3,honda accord cvcc
165.0,4,111.0,416.0,5387.5,14.8,77,1,buick opel isuzu deluxe
198.0,4,79.0,301.6,4562.5,18.6,77,2,renault 5 gtl
140.25,4,122.0,499.20000000000005,5750.0,15.5,77,1,plymouth arrow gs
184.25,4,85.0,364.0,4862.5,16.8,77,3,datsun f-10 hatchback
96.25,8,305.0,754.0,9700.0,12.5,77,1,chevrolet caprice classic
93.5,8,260.0,572.0,10150.0,19.0,77,1,oldsmobile cutlass supreme
85.25,8,318.0,754.0,10350.0,13.7,77,1,mahindra thar
82.5,8,302.0,676.0,10737.5,14.9,77,1,mercury cougar brougham
96.25,6,250.0,572.0,8800.0,16.4,77,1,hyundai i20
112.75,6,231.0,546.0,8562.5,16.9,77,1,buick skylark
104.5,6,225.0,520.0,9075.0,17.7,77,1,plymouth volare custom
101.75,6,250.0,509.6,8812.5,19.0,77,1,ford granada
88.0,8,400.0,936.0,10550.0,11.1,77,1,pontiac grand prix lj
85.25,8,350.0,884.0,10412.5,11.4,77,1,chevrolet monte carlo landau
85.25,8,400.0,988.0,10812.5,12.2,77,1,chrysler cordoba
88.0,8,351.0,774.8000000000001,10837.5,14.5,77,1,ford thunderbird
159.5,4,97.0,405.6,4850.0,14.5,77,2,volkswagen rabbit custom
134.75,4,151.0,457.6,6850.0,16.0,77,1,pontiac sunbird coupe
143.0,4,97.0,390.0,5662.5,18.2,77,3,toyota corolla liftback
140.25,4,140.0,462.8,6887.5,15.8,77,1,ford mustang ii 2+2
167.75,4,98.0,327.6,5127.5,17.0,77,1,chevrolet chevette
184.25,4,98.0,431.6,5187.5,15.9,77,1,dodge colt m/m
165.0,4,97.0,348.40000000000003,4962.5,16.4,77,3,subaru dl
167.75,4,97.0,405.6,5475.0,14.1,77,2,volkswagen dasher
121.0,6,146.0,504.40000000000003,7037.5,14.5,77,3,datsun 810
118.25,4,121.0,572.0,6500.0,12.8,77,2,bmw 320i
118.25,3,80.0,572.0,6800.0,13.5,77,3,mazda rx-4
237.05,4,90.0,249.60000000000002,4962.5,21.5,78,2,volkswagen rabbit custom diesel
198.55,4,98.0,343.2,4500.0,14.4,78,1,ford fiesta
180.39999999999998,4,78.0,270.40000000000003,4962.5,19.4,78,3,tesla model s
216.7,4,85.0,364.0,5175.0,18.6,78,3,datsun b210 gx
198.55,4,91.0,312.0,4500.0,16.4,78,3,honda civic cvcc
109.44999999999999,8,260.0,572.0,8412.5,15.5,78,1,oldsmobile cutlass salon brougham
106.69999999999999,8,318.0,728.0,9337.5,13.2,78,1,dodge diplomat
111.1,8,302.0,722.8000000000001,8925.0,12.8,78,1,mercury monarch ghia
105.6,6,231.0,546.0,8837.5,19.2,78,1,hyundai i20
112.75,6,200.0,494.0,7887.5,18.2,78,1,chevrolet malibu
111.1,6,200.0,442.0,7412.5,15.8,78,1,ford fairmont (auto)
138.05,4,140.0,457.6,6800.0,15.4,78,1,ford fairmont (man)
112.75,6,225.0,520.0,8575.0,17.2,78,1,plymouth volare
106.69999999999999,6,232.0,468.0,8025.0,17.2,78,1,amc concord
113.30000000000001,6,231.0,546.0,8450.0,15.8,78,1,buick century special
114.4,6,200.0,442.0,7675.0,16.7,78,1,mercury zephyr
102.30000000000001,6,225.0,572.0,9050.0,18.7,78,1,dodge aspen
99.55000000000001,6,258.0,624.0,8525.0,15.1,78,1,amc concord d/l
105.6,8,305.0,754.0,8562.5,13.2,78,1,tata nano
97.35,6,231.0,858.0,8612.5,13.4,78,1,buick regal sport coupe (turbo)
99.55000000000001,8,302.0,722.8000000000001,8012.5,11.2,78,1,ford futura
96.25,8,318.0,728.0,10200.0,13.7,78,1,tesla model s
165.0,4,98.0,353.6,5387.5,16.5,78,1,chevrolet chevette
151.25,4,134.0,494.0,6400.0,14.2,78,3,tata nano
149.6,4,119.0,504.40000000000003,5750.0,14.7,78,3,datsun 510
169.95,4,105.0,390.0,5575.0,14.5,78,1,dodge omni
116.05000000000001,4,134.0,494.0,6287.5,14.8,78,3,toyota celica gt liftback
127.6,4,156.0,546.0,6862.5,16.7,78,1,plymouth sapporo
130.9,4,151.0,442.0,7137.5,17.6,78,1,oldsmobile starfire sx
131.45,4,119.0,504.40000000000003,6012.5,14.9,78,3,datsun 200-sx
111.65,5,131.0,535.6,7075.0,15.9,78,2,audi 5000
93.5,6,163.0,650.0,7850.0,13.6,78,2,volvo 264gl
118.80000000000001,4,121.0,598.0,6987.5,15.7,78,2,saab 99gle
89.1,6,163.0,691.6,8525.0,15.8,78,2,peugeot 604sl
173.25,4,89.0,369.2,4975.0,14.9,78,2,volkswagen scirocco
162.25,4,98.0,353.6,5337.5,16.6,78,3,honda accord lx
118.25,6,231.0,598.0,8112.5,15.4,79,1,pontiac lemans v6
108.9,6,200.0,442.0,7475.0,18.2,79,1,mercury zephyr 6
122.65,4,140.0,457.6,7225.0,17.3,79,1,tata nano
111.1,6,232.0,468.0,8162.5,18.2,79,1,amc concord dl 6
113.30000000000001,6,225.0,572.0,8400.0,16.6,79,1,dodge aspen 6
93.5,8,305.0,676.0,9600.0,15.4,79,1,chevrolet caprice classic
96.80000000000001,8,302.0,670.8000000000001,9312.5,13.4,79,1,toyota fortuner
90.75,8,351.0,717.6,9887.5,13.2,79,1,mercury grand marquis
100.1,8,318.0,702.0,9575.0,15.2,79,1,dodge st. regis
92.94999999999999,8,350.0,806.0,10900.0,14.9,79,1,buick estate wagon (sw)
85.25,8,351.0,738.4,10135.0,14.3,79,1,ford country squire (sw)
105.6,8,267.0,650.0,9012.5,15.0,79,1,chevrolet malibu classic (sw)
101.75,8,360.0,780.0,9850.0,13.0,79,1,chrysler lebaron town @ country (sw)
175.45,4,89.0,369.2,4812.5,14.0,79,2,vw rabbit custom
187.55,4,86.0,338.0,4937.5,15.2,79,3,maxda glc deluxe
196.35000000000002,4,98.0,416.0,4787.5,14.4,79,1,dodge colt hatchback custom
150.7,4,121.0,416.0,6675.0,15.0,79,1,amc spirit dl
139.7,5,183.0,400.40000000000003,8825.0,20.1,79,2,mercedes benz 300d
126.5,8,350.0,650.0,9750.0,17.4,79,1,cadillac eldorado
149.6,4,141.0,369.2,7975.0,24.8,79,2,peugeot 504
131.45,8,260.0,468.0,8550.0,22.2,79,1,toyota fortuner
188.10000000000002,4,105.0,364.0,5500.0,13.2,79,1,plymouth horizon
189.75,4,105.0,364.0,5375.0,14.9,79,1,plymouth horizon tc3
174.9,4,85.0,338.0,5050.0,19.2,79,3,mahindra thar
205.14999999999998,4,91.0,358.8,5325.0,14.7,79,2,fiat strada custom
156.2,4,151.0,468.0,6675.0,16.0,79,1,buick skylark limited
158.4,6,173.0,598.0,6487.5,11.3,79,1,chevrolet citation
147.4,6,173.0,598.0,6750.0,12.9,79,1,oldsmobile omega brougham
184.25,4,151.0,468.0,6390.0,13.2,79,1,pontiac phoenix
228.25,4,98.0,395.2,5360.0,14.7,80,2,vw rabbit
209.55,4,89.0,312.0,4920.0,18.8,80,3,toyota corolla tercel
176.55,4,98.0,364.0,5300.0,15.5,80,1,chevrolet chevette
204.60000000000002,4,86.0,338.0,5047.5,16.4,80,3,datsun 310
154.0,4,151.0,468.0,6695.0,16.5,80,1,chevrolet citation
145.2,4,140.0,457.6,7175.0,18.1,80,1,ford fairmont
133.65,4,151.0,468.0,7507.5,20.1,80,1,mahindra thar
105.05000000000001,6,225.0,468.0,8452.5,18.7,80,1,dodge aspen
188.64999999999998,4,97.0,405.6,5470.0,15.8,80,2,audi 4000
163.9,4,134.0,468.0,6777.5,15.5,80,3,toyota corona liftback
172.15,4,120.0,390.0,6355.0,17.5,80,3,mazda 626
203.5,4,119.0,478.40000000000003,6085.0,15.0,80,3,datsun 510 hatchback
177.10000000000002,4,108.0,390.0,5662.5,15.2,80,3,toyota corolla
256.3,4,86.0,338.0,5275.0,17.9,80,3,mazda glc
153.45,4,156.0,546.0,7000.0,14.4,80,1,dodge colt
224.39999999999998,4,85.0,338.0,5275.0,19.2,80,3,datsun 210
243.64999999999998,4,90.0,249.60000000000002,5212.5,21.7,80,2,vw rabbit c (diesel)
238.7,4,90.0,249.60000000000002,5837.5,23.7,80,2,vw dasher (diesel)
200.2,5,121.0,348.40000000000003,7375.0,19.9,80,2,audi 5000s (diesel)
165.0,4,146.0,348.40000000000003,8125.0,21.8,80,2,mercedes-benz 240d
245.3,4,91.0,348.40000000000003,4625.0,13.8,80,3,honda civic 1500 gl
224.95,4,85.0,,4587.5,17.3,80,2,renault lecar deluxe
185.89999999999998,4,97.0,348.40000000000003,5362.5,18.0,80,3,subaru dl
163.9,4,89.0,322.40000000000003,4612.5,15.3,80,2,vokswagen rabbit
179.85000000000002,6,168.0,686.4,7275.0,11.4,80,3,datsun 280-zx
130.35,3,70.0,520.0,6050.0,12.5,80,3,mazda rx-7 gs
192.5,4,122.0,457.6,6250.0,15.1,80,2,triumph tr7 coupe
129.8,4,140.0,,7262.5,14.3,80,1,tesla model s
178.2,4,107.0,374.40000000000003,5725.0,17.0,80,3,honda accord
149.6,4,135.0,436.8,6225.0,15.7,81,1,hyundai i20
146.3,4,151.0,436.8,6587.5,16.4,81,1,buick skylark
141.9,4,156.0,478.40000000000003,6550.0,14.4,81,1,dodge aries wagon (sw)
129.25,6,173.0,572.0,6812.5,12.6,81,1,chevrolet citation
165.0,4,135.0,436.8,5962.5,12.9,81,1,plymouth reliant
215.05,4,79.0,301.6,4387.5,16.9,81,3,toyota starlet
214.5,4,86.0,332.8,4687.5,16.4,81,1,plymouth champ
193.05,4,81.0,312.0,4400.0,16.1,81,3,honda civic 1300
177.64999999999998,4,97.0,348.40000000000003,5162.5,17.8,81,3,subaru
203.5,4,85.0,338.0,4937.5,19.4,81,3,datsun 210 mpg
207.35000000000002,4,89.0,322.40000000000003,5125.0,17.3,81,3,toyota fortuner
187.55,4,91.0,353.6,4962.5,16.0,81,3,mazda glc 4
190.85000000000002,4,105.0,327.6,5537.5,14.9,81,1,hyundai i20
189.2,4,98.0,338.0,5112.5,16.2,81,1,ford escort 4w
164.45,4,98.0,338.0,5950.0,20.7,81,1,ford escort 2h
181.5,4,105.0,384.8,5475.0,14.2,81,2,tata nano
189.75,4,100.0,,5800.0,15.8,81,2,renault 18i
185.35000000000002,4,107.0,390.0,5525.0,14.4,81,3,honda prelude
178.2,4,108.0,390.0,5875.0,16.8,81,3,toyota corolla
180.95,4,119.0,520.0,6537.5,14.8,81,3,datsun 200sx
173.8,4,120.0,384.8,6587.5,18.3,81,3,mazda 626
154.55,4,141.0,416.0,8075.0,20.4,81,2,peugeot 505s turbo diesel
168.85,6,145.0,395.2,7900.0,19.6,81,2,volvo diesel
139.7,6,168.0,603.2,7250.0,12.6,81,3,toyota cressida
133.1,6,146.0,624.0,7325.0,13.8,81,3,datsun 810 maxima
123.19999999999999,6,231.0,572.0,8537.5,15.8,81,1,buick century
146.3,8,350.0,546.0,9312.5,19.0,81,1,oldsmobile cutlass ls
111.1,6,200.0,457.6,7650.0,17.1,81,1,ford granada gl
96.80000000000001,6,225.0,442.0,8662.5,16.6,81,1,hyundai i20
154.0,4,112.0,457.6,6512.5,19.6,82,1,chevrolet cavalier
148.5,4,112.0,457.6,6600.0,18.6,82,1,chevrolet cavalier wagon
187.0,4,112.0,457.6,5987.5,18.0,82,1,chevrolet cavalier 2-door
170.5,4,112.0,442.0,6437.5,16.2,82,1,pontiac j2000 se hatchback
159.5,4,135.0,436.8,6312.5,16.0,82,1,dodge aries se
148.5,4,151.0,468.0,6837.5,18.0,82,1,pontiac phoenix
132.0,4,140.0,478.40000000000003,7162.5,16.4,82,1,ford fairmont futura
126.5,4,151.0,,7587.5,20.5,82,1,amc concord dl
198.0,4,105.0,384.8,4950.0,15.3,82,2,volkswagen rabbit l
203.5,4,91.0,353.6,5062.5,18.2,82,3,mazda glc custom l
170.5,4,91.0,353.6,4925.0,17.6,82,3,mazda glc custom
209.0,4,105.0,327.6,5312.5,14.7,82,1,plymouth horizon miser
198.0,4,98.0,364.0,5312.5,17.3,82,1,mercury lynx l
198.0,4,120.0,457.6,5400.0,14.5,82,3,nissan stanza xe
198.0,4,107.0,390.0,5512.5,14.5,82,3,honda accord
187.0,4,108.0,364.0,5612.5,16.9,82,3,toyota corolla
209.0,4,91.0,348.40000000000003,4912.5,15.0,82,3,tesla model s
